Order,CommonName,SciName,Status
379,Black Noddy,Anous minutus,
380,Blue-gray Noddy,Anous ceruleus,
381,White Tern,Gygis alba,
382,Sooty Tern,Onychoprion fuscatus,
383,Gray-backed Tern,Onychoprion lunatus,
384,Bridled Tern,Onychoprion anaethetus,
385,Aleutian Tern,Onychoprion aleuticus,Vulnerable
386,Little Tern,Sternula albifrons,Rare/Accidental
387,Least Tern,Sternula antillarum,
388,Large-billed Tern,Phaetusa simplex,Rare/Accidental
389,Gull-billed Tern,Gelochelidon nilotica,
390,Caspian Tern,Hydroprogne caspia,
391,Black Tern,Chlidonias niger,
392,White-winged Tern,Chlidonias leucopterus,
393,Whiskered Tern,Chlidonias hybrida,Rare/Accidental
394,Roseate Tern,Sterna dougallii,
395,Common Tern,Sterna hirundo,
396,Arctic Tern,Sterna paradisaea,
397,Forster's Tern,Sterna forsteri,
398,Royal Tern,Thalasseus maximus,
399,Great Crested Tern,Thalasseus bergii,
400,Sandwich Tern,Thalasseus sandvicensis,
401,Elegant Tern,Thalasseus elegans,Near-threatened
402,Black Skimmer,Rynchops niger,
403,White-tailed Tropicbird,Phaethon lepturus,
404,Red-billed Tropicbird,Phaethon aethereus,
405,Red-tailed Tropicbird,Phaethon rubricauda,
406,Red-throated Loon,Gavia stellata,
407,Arctic Loon,Gavia arctica,
408,Pacific Loon,Gavia pacifica,
409,Common Loon,Gavia immer,
410,Yellow-billed Loon,Gavia adamsii,Near-threatened
411,Yellow-nosed Albatross,Thalassarche chlororhynchos,Rare/Accidental
412,White-capped Albatross,Thalassarche cauta,Rare/Accidental
413,Salvin's Albatross,Thalassarche salvini,Rare/Accidental Vulnerable
414,Chatham Albatross,Thalassarche eremita,Rare/Accidental Vulnerable
415,Black-browed Albatross,Thalassarche melanophris,Rare/Accidental
416,Light-mantled Albatross,Phoebetria palpebrata,Rare/Accidental Near-threatened
417,Wandering Albatross,Diomedea exulans,Rare/Accidental
418,Laysan Albatross,Phoebastria immutabilis,Near-threatened
419,Black-footed Albatross,Phoebastria nigripes,Near-threatened
420,Short-tailed Albatross,Phoebastria albatrus,Vulnerable
421,Wilson's Storm-Petrel,Oceanites oceanicus,
422,White-faced Storm-Petrel,Pelagodroma marina,
423,European Storm-Petrel,Hydrobates pelagicus,Rare/Accidental
424,Fork-tailed Storm-Petrel,Oceanodroma furcata,
425,Ringed Storm-Petrel,Oceanodroma hornbyi,Rare/Accidental Data deficient
426,Leach's Storm-Petrel,Oceanodroma leucorhoa,
427,Townsend's Storm-Petrel,Oceanodroma socorroensis,
428,Ainley's Storm-Petrel,Oceanodroma cheimomnestes,
429,Swinhoe's Storm-Petrel,Oceanodroma monorhis,Rare/Accidental Near-threatened
430,Ashy Storm-Petrel,Oceanodroma homochroa,Endangered
431,Band-rumped Storm-Petrel,Oceanodroma castro,
432,Wedge-rumped Storm-Petrel,Oceanodroma tethys,Rare/Accidental
433,Black Storm-Petrel,Oceanodroma melania,
434,Tristram's Storm-Petrel,Oceanodroma tristrami,Near-threatened
435,Least Storm-Petrel,Oceanodroma microsoma,
436,Southern Giant-Petrel,Macronectes giganteus,
437,Northern Fulmar,Fulmarus glacialis,
438,Gray-faced Petrel,Pterodroma gouldi,Rare/Accidental
439,Kermadec Petrel,Pterodroma neglecta,
440,Trindade Petrel,Pterodroma arminjoniana,Vulnerable
441,Herald Petrel,Pterodroma heraldica,Rare/Accidental
442,Murphy's Petrel,Pterodroma ultima,Near-threatened
443,Providence Petrel,Pterodroma solandri,Rare/Accidental Vulnerable
444,Zino's Petrel,Pterodroma madeira,Rare/Accidental Endangered
445,Fea's Petrel,Pterodroma feae,Rare/Accidental
446,Mottled Petrel,Pterodroma inexpectata,Near-threatened
447,Bermuda Petrel,Pterodroma cahow,Rare/Accidental Endangered
448,Black-capped Petrel,Pterodroma hasitata,
449,Juan Fernandez Petrel,Pterodroma externa,Vulnerable
450,Hawaiian Petrel,Pterodroma sandwichensis,Vulnerable
451,White-necked Petrel,Pterodroma cervicalis,
452,Bonin Petrel,Pterodroma hypoleuca,
453,Black-winged Petrel,Pterodroma nigripennis,
454,Cook's Petrel,Pterodroma cookii,Vulnerable
455,Stejneger's Petrel,Pterodroma longirostris,Vulnerable
456,Phoenix Petrel,Pterodroma alba,Endangered
457,Bulwer's Petrel,Bulweria bulwerii,
458,Jouanin's Petrel,Bulweria fallax,Near-threatened
459,Tahiti Petrel,Pseudobulweria rostrata,Rare/Accidental Near-threatened
460,Parkinson's Petrel,Procellaria parkinsoni,Vulnerable
461,Streaked Shearwater,Calonectris leucomelas,Near-threatened
462,Cory's Shearwater,Calonectris diomedea,
463,Cape Verde Shearwater,Calonectris edwardsii,Rare/Accidental Near-threatened
464,Pink-footed Shearwater,Ardenna creatopus,Vulnerable
465,Flesh-footed Shearwater,Ardenna carneipes,Near-threatened
466,Great Shearwater,Ardenna gravis,
467,Wedge-tailed Shearwater,Ardenna pacifica,
468,Buller's Shearwater,Ardenna bulleri,Vulnerable
469,Sooty Shearwater,Ardenna grisea,Near-threatened
470,Short-tailed Shearwater,Ardenna tenuirostris,
471,Christmas Shearwater,Puffinus nativitatis,
472,Manx Shearwater,Puffinus puffinus,
473,Newell's Shearwater,Puffinus newelli,
474,Bryan's Shearwater,Puffinus bryani,Rare/Accidental Critically endangered
475,Black-vented Shearwater,Puffinus opisthomelas,Near-threatened
476,Barolo Shearwater,Puffinus baroli,Rare/Accidental
477,Audubon's Shearwater,Puffinus lherminieri,
478,Jabiru,Jabiru mycteria,Rare/Accidental
479,Wood Stork,Mycteria americana,
480,Lesser Frigatebird,Fregata ariel,Rare/Accidental
481,Magnificent Frigatebird,Fregata magnificens,
482,Great Frigatebird,Fregata minor,
483,Masked Booby,Sula dactylatra,
484,Nazca Booby,Sula granti,Rare/Accidental
485,Blue-footed Booby,Sula nebouxii,Rare/Accidental
486,Brown Booby,Sula leucogaster,
487,Red-footed Booby,Sula sula,
488,Northern Gannet,Morus bassanus,
489,Anhinga,Anhinga anhinga,
490,Brandt's Cormorant,Phalacrocorax penicillatus,
491,Red-faced Cormorant,Phalacrocorax urile,
