Source	Common_Name	Subspecies	Observation_Year_Begin	Observation_Month_Begin	Observation_Season	Analysis_Number	Bird_Sample_Size	Habitat_type	Location_Region	Location_Specific	Item_Sample_Size	Diet_Type	Study_Type	Sites	Sum_Diet	Checked
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	94	agriculture	California	Merced County	NA	Wt_or_Vol	fecal contents	NA	2.985	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	110	agriculture	California	San Bernardino County	NA	Wt_or_Vol	fecal contents	NA	2.318	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	117	agriculture	California	Riverside County	NA	Wt_or_Vol	fecal contents	NA	3.317	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	138	agriculture	California	San Diego County	NA	Wt_or_Vol	fecal contents	NA	1.98	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	159	agriculture	California	Tehama County	NA	Wt_or_Vol	fecal contents	NA	0.961	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	169	agriculture	California	Orange County	NA	Wt_or_Vol	fecal contents	NA	3.006	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	184	agriculture	California	Kings County	NA	Wt_or_Vol	fecal contents	NA	2.952	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1912	NA		1	60	agriculture	California	Sacramento County	NA	Wt_or_Vol	fecal contents	NA	2.979	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1912	NA		1	72	agriculture	California	Stanislaus County	NA	Wt_or_Vol	fecal contents	NA	1.957	
"Bull, E. L. and M. G. Henjum. 1990. Ecology of the great gray owl. U.S. Department of Agriculture, Forestry Service, General Technical Report. PNW-GTR-265."	Great Gray Owl	NA	1982	3	multiple	1	NA	coniferous forest;grassland	Oregon	"Union, Umatilla, and Wallowa Counties"	4546	Items	pellet contents	4	1.999	
"Burns, E. C. and J. B. Chapin. 1969. Arthropods in the diet of the Cattle Egret, Bubulcus ibis, in southern Louisiana. J. Econ. Entomol. 62:736-738."	Cattle Egret	NA	1966	6	multiple	NA	3	river;forest	Louisiana	Southern Louisiana	429	Items	stomach contents	NA	0.679	
"Burns, E. C. and J. B. Chapin. 1969. Arthropods in the diet of the Cattle Egret, Bubulcus ibis, in southern Louisiana. J. Econ. Entomol. 62:736-738."	Cattle Egret	NA	1966	6	spring	NA	3	river;forest	Louisiana	Southern Louisiana	429	Items	stomach contents	NA	0.321	
"Buttu, S. A. Mulas, F. Palmas and S. Cabiddu. 2013. Diet of Phalacrocorax carbo sinensis (Aves, Phalacrocoracidae) and impact on fish stocks: a study case in Cabras and Mistras lagoons (Sardinia, Italy). Transit. Waters Bull. 7:17-27."	Great Cormorant	sinensis	2010	10	fall;winter	NA	357	wetland	Italy	Cabras Lagoon	1890	Wt_or_Vol	pellet contents	NA	0.9411	
